outcome,rain,start,end,n,r,p_pearson,p_partial_time,p_block3,rain_lag1,outcome_lag1,q_pearson,q_partial_time,q_block3
Grapes,total,1961,1990,30,0.3564545131246748,0.05317812139969307,0.057694568617643965,0.027898605069746514,-0.35293134446857344,0.18974363948034992,0.16891873856373094,0.1832651003148691,0.1255437228138593
Grapes,former,1961,1990,30,0.15520742972088036,0.41280692478418046,0.4214307210888755,0.29443527823608817,-0.2539428259137765,0.18974363948034992,0.6966116855733046,0.706219479830816,0.5482587939568538
Grapes,latter,1961,1990,30,-0.0035083006179186804,0.9853203430039372,0.9855895964119201,0.9887005649717514,0.24486442655915763,0.18974363948034992,0.9853203430039372,0.9855895964119201,0.9887005649717514
Grapes,total,1991,2023,33,-0.13088977537509489,0.4678112877298029,0.4751982087691542,0.5016249187540623,0.20413314663488127,0.9015572478644958,0.708837220744105,0.7143608071628469,0.71915877890316
Grapes,former,1991,2023,33,-0.12322144458083786,0.4944992490193469,0.5016595979445322,0.4809259537023149,-0.21088371949487955,0.9015572478644958,0.7217016066768847,0.7321518456487768,0.71915877890316
Grapes,latter,1991,2023,33,-0.07911016859185033,0.6616636949604565,0.6669152002758479,0.5060746962651868,-0.027204216236583353,0.9015572478644958,0.865937728054646,0.8676775394355599,0.71915877890316
Olives,total,1961,2023,63,0.27650168489263094,0.02825858991827873,0.029594552643014176,0.042897855107244635,-0.06347433582165765,-0.1128538215158654,0.1173818350451578,0.12293121867098196,0.1654631554136579
Olives,former,1961,2023,63,0.07185056438972644,0.5757522390171518,0.5789245037044649,0.624218789060547,-0.20549106587473545,-0.1128538215158654,0.8181742343927947,0.822682189474766,0.8140406933141715
Olives,latter,1961,2023,63,-0.03226413028641091,0.8017941926431907,0.8034051291069999,0.8029098545072746,0.1395784059367206,-0.1128538215158654,0.865937728054646,0.8676775394355599,0.8848394314978127
Olives,total,1961,1990,30,0.5281486346667309,0.0027007194925905463,0.0032306608174614785,0.007099645017749113,-0.35293134446857344,-0.603818980146896,0.02083412179998421,0.024922240591845692,0.05028498575071246
Olives,former,1961,1990,30,0.15724058148202766,0.40663656925934855,0.4152982580085276,0.4998750062496875,-0.2539428259137765,-0.603818980146896,0.6966116855733046,0.706219479830816,0.71915877890316
Olives,latter,1961,1990,30,0.015379404281599264,0.9357109798234378,0.9368878086449575,0.9317034148292586,0.24486442655915763,-0.603818980146896,0.9533659039710498,0.9545649371099566,0.9492827245430182
Olives,total,1991,2023,33,0.21913931454515212,0.22046975764223065,0.2281905840658577,0.2565871706414679,0.20413314663488127,-0.44579820609570353,0.4960569546950189,0.5065240529305685,0.5068032312670081
Olives,former,1991,2023,33,0.04988445258025534,0.7827888703508141,0.7862905504560119,0.8443577821108944,-0.21088371949487955,-0.44579820609570353,0.865937728054646,0.8676775394355599,0.9119064046797659
Olives,latter,1991,2023,33,-0.07531947614452802,0.6769806989956042,0.6820241972428339,0.72026398680066,-0.027204216236583353,-0.44579820609570353,0.865937728054646,0.8676775394355599,0.8455272888529486
Wheat,total,1961,2023,63,0.53348128487862,6.732359879806953e-06,8.020766312929258e-06,0.00014999250037498125,-0.06347433582165765,0.3741962891594205,0.00036354743350957544,0.00043312138089817993,0.005399730013499325
Wheat,former,1961,2023,63,0.4848221810731139,5.6562395565476985e-05,6.51593311251953e-05,0.000199990000499975,-0.20549106587473545,0.3741962891594205,0.0015271846802678785,0.0017593019403802732,0.005399730013499325
Wheat,latter,1961,2023,63,0.2720265180467218,0.03102451914620034,0.0324468829078191,0.03464826758662067,0.1395784059367206,0.3741962891594205,0.11966600242105845,0.1251522626444451,0.14392357305211664
Wheat,total,1961,1990,30,0.5701641364043568,0.0010038610825779273,0.0012416436399489035,0.0006499675016249188,-0.35293134446857344,0.19696940869653154,0.010062009662210115,0.012400018672328749,0.007019649017549123
Wheat,former,1961,1990,30,0.3889541189748523,0.033643101581386406,0.03703620358196908,0.0471976401179941,-0.2539428259137765,0.19696940869653154,0.12111516569299105,0.1333303328950887,0.16991150442477876
Wheat,latter,1961,1990,30,0.3620363808653977,0.049302605910779035,0.05361804487782574,0.0648467576621169,0.24486442655915763,0.19696940869653154,0.16639629494887925,0.18096090146266186,0.21885780710964453
Wheat,total,1991,2023,33,0.6168051905138932,0.0001319552626753648,0.00017015228668023087,0.00034998250087495624,0.20413314663488127,0.22572660947320153,0.0023751947281565665,0.0030627411602441555,0.006299685015749213
Wheat,former,1991,2023,33,0.6046871301002248,0.00019356806222920755,0.00024665378647918137,0.0004999750012499375,-0.21088371949487955,0.22572660947320153,0.0026131688400943018,0.0033298261174689483,0.006749662516874156
Wheat,latter,1991,2023,33,0.08286776939963894,0.646612102310869,0.6520635496560475,0.648217589120544,-0.027204216236583353,0.22572660947320153,0.865937728054646,0.8676775394355599,0.8140406933141715
cereal yield,total,1961,2023,63,0.3160208488922104,0.011631466542994425,0.012342559113309962,0.0074496275186240685,-0.06347433582165765,0.47178855031348543,0.0628099193321699,0.06798942641292081,0.05028498575071246
cereal yield,former,1961,2023,63,0.30737103199287374,0.014267096698558995,0.015093249554932185,0.012849357532123394,-0.20549106587473545,0.47178855031348543,0.07003847470201689,0.074094134178758,0.06938653067346633
cereal yield,latter,1961,2023,63,0.0921527076641032,0.47255814716273664,0.4762405381085646,0.47802609869506524,0.1395784059367206,0.47178855031348543,0.708837220744105,0.7143608071628469,0.71915877890316
cereal yield,total,1961,1990,30,0.5658495608066165,0.0011180010735789016,0.001377779852480972,0.0007999600019999,-0.35293134446857344,0.052311319131283604,0.010062009662210115,0.012400018672328749,0.0071996400179991
cereal yield,former,1961,1990,30,0.4574660227369388,0.011029834001578398,0.012590634520911262,0.01949902504874756,-0.2539428259137765,0.052311319131283604,0.0628099193321699,0.06798942641292081,0.09572248660294257
cereal yield,latter,1961,1990,30,0.06379592702977668,0.7376865647983689,0.7423259040863234,0.711864406779661,0.24486442655915763,0.052311319131283604,0.865937728054646,0.8676775394355599,0.8455272888529486
cereal yield,total,1991,2023,33,0.18247348259854576,0.30944949347672634,0.31751261676292786,0.32198390080495976,0.20413314663488127,0.6065461914523974,0.5967954517051152,0.6123457608999322,0.5795710214489276
cereal yield,former,1991,2023,33,0.2091064113025263,0.2428576366716466,0.2507311215475903,0.23163841807909605,-0.21088371949487955,0.6065461914523974,0.49862429586891516,0.5065240529305685,0.4810951760104303
cereal yield,latter,1991,2023,33,0.07221783939181774,0.6896089611666839,0.694477705447296,0.6041697915104245,-0.027204216236583353,0.6065461914523974,0.865937728054646,0.8676775394355599,0.8140406933141715
